# Omega OM-92b Logger 
Time Zone UTC + -4 hours

# Configuration :
DeviceID,15585
LoggingStart,Button Press
LoggingStartTime,05.30 10:40:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,NA
TemperatureAlarmThresholdLow,NA
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,NA
HumidityAlarmThresholdLow,NA
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,118,2021-04-16,07:00:00,,2021-04-16 07:00:00,18.1586,58.2437,9.82421
,,119,2021-04-16,07:10:00,,2021-04-16 07:10:00,18.1052,59.4736,10.0863
,,120,2021-04-16,07:20:00,,2021-04-16 07:20:00,18.1746,57.319,9.60054
,,121,2021-04-16,07:30:00,,2021-04-16 07:30:00,19.7768,49.8543,9.01249
,,122,2021-04-16,07:40:00,,2021-04-16 07:40:00,20.5352,46.9825,8.82823
,,123,2021-04-16,07:50:00,,2021-04-16 07:50:00,20.9304,45.948,8.85883
,,124,2021-04-16,08:00:00,,2021-04-16 08:00:00,21.0426,45.0935,8.68296
,,125,2021-04-16,08:10:00,,2021-04-16 08:10:00,21.0853,44.5106,8.52941
,,126,2021-04-16,08:20:00,,2021-04-16 08:20:00,21.2135,44.303,8.57659
,,127,2021-04-16,08:30:00,,2021-04-16 08:30:00,21.2509,44.181,8.5697
,,128,2021-04-16,08:40:00,,2021-04-16 08:40:00,21.2509,43.7598,8.42823
,,129,2021-04-16,08:50:00,,2021-04-16 08:50:00,21.3096,43.5401,8.40709
,,130,2021-04-16,09:00:00,,2021-04-16 09:00:00,21.3096,43.2898,8.32204
,,131,2021-04-16,09:10:00,,2021-04-16 09:10:00,21.3684,43.1708,8.33454
,,132,2021-04-16,09:20:00,,2021-04-16 09:20:00,21.3523,42.7619,8.17975
,,133,2021-04-16,09:30:00,,2021-04-16 09:30:00,21.4218,42.6978,8.22032
,,134,2021-04-16,09:40:00,,2021-04-16 09:40:00,21.4378,42.6032,8.20209
,,135,2021-04-16,09:50:00,,2021-04-16 09:50:00,21.5072,42.3774,8.18641
,,136,2021-04-16,10:00:00,,2021-04-16 10:00:00,21.4805,42.0722,8.0559
,,137,2021-04-16,10:10:00,,2021-04-16 10:10:00,21.5072,42.0325,8.06608
,,138,2021-04-16,10:20:00,,2021-04-16 10:20:00,21.5072,41.883,8.01363
,,139,2021-04-16,10:30:00,,2021-04-16 10:30:00,21.5339,42.0203,8.08586
,,140,2021-04-16,10:40:00,,2021-04-16 10:40:00,21.5232,41.8402,8.01304
,,141,2021-04-16,10:50:00,,2021-04-16 10:50:00,21.4965,41.8219,7.98255
,,142,2021-04-16,11:00:00,,2021-04-16 11:00:00,21.4805,41.9501,8.01314
,,143,2021-04-16,11:10:00,,2021-04-16 11:10:00,21.4965,41.6541,7.92341
,,144,2021-04-16,11:20:00,,2021-04-16 11:20:00,21.4538,41.4862,7.82562
,,145,2021-04-16,11:30:00,,2021-04-16 11:30:00,21.4805,41.6846,7.91976
,,146,2021-04-16,11:40:00,,2021-04-16 11:40:00,21.4645,41.5106,7.84387
,,147,2021-04-16,11:50:00,,2021-04-16 11:50:00,21.4645,41.4588,7.8255
,,148,2021-04-16,12:00:00,,2021-04-16 12:00:00,21.4538,41.4038,7.79641
,,149,2021-04-16,12:10:00,,2021-04-16 12:10:00,21.4111,41.2329,7.69727
,,150,2021-04-16,12:20:00,,2021-04-16 12:20:00,21.4538,41.4801,7.82346
,,151,2021-04-16,12:30:00,,2021-04-16 12:30:00,21.4218,41.3153,7.73617
,,152,2021-04-16,12:40:00,,2021-04-16 12:40:00,21.4218,41.4801,7.79463
,,153,2021-04-16,12:50:00,,2021-04-16 12:50:00,21.4538,41.3886,7.791
,,154,2021-04-16,13:00:00,,2021-04-16 13:00:00,21.4111,41.3428,7.73633
,,155,2021-04-16,13:10:00,,2021-04-16 13:10:00,21.4378,41.4557,7.8004
,,156,2021-04-16,13:20:00,,2021-04-16 13:20:00,21.4111,41.2879,7.71681
,,157,2021-04-16,13:30:00,,2021-04-16 13:30:00,21.4218,41.416,7.77192
,,158,2021-04-16,13:40:00,,2021-04-16 13:40:00,21.4538,41.3336,7.77149
,,159,2021-04-16,13:50:00,,2021-04-16 13:50:00,21.4218,41.2177,7.70143
,,160,2021-04-16,14:00:00,,2021-04-16 14:00:00,21.4645,41.4435,7.82009
,,161,2021-04-16,14:10:00,,2021-04-16 14:10:00,21.4538,41.4008,7.79533
,,162,2021-04-16,14:20:00,,2021-04-16 14:20:00,21.4645,41.5686,7.86439
,,163,2021-04-16,14:30:00,,2021-04-16 14:30:00,21.4805,41.5961,7.88851
,,164,2021-04-16,14:40:00,,2021-04-16 14:40:00,21.4378,41.6083,7.85437
,,165,2021-04-16,14:50:00,,2021-04-16 14:50:00,21.4111,41.7975,7.89702
,,166,2021-04-16,15:00:00,,2021-04-16 15:00:00,21.4378,41.9287,7.96716
,,167,2021-04-16,15:10:00,,2021-04-16 15:10:00,21.4218,41.7731,7.89805
,,168,2021-04-16,15:20:00,,2021-04-16 15:20:00,21.4538,41.7456,7.91723
,,169,2021-04-16,15:30:00,,2021-04-16 15:30:00,21.4965,42.0111,8.04897
,,170,2021-04-16,15:40:00,,2021-04-16 15:40:00,21.4805,41.9623,8.01742
,,171,2021-04-16,15:50:00,,2021-04-16 15:50:00,21.4805,41.8494,7.97778
,,172,2021-04-16,16:00:00,,2021-04-16 16:00:00,21.4378,41.8463,7.93823
