,species,pendant_ID,temp,calendar_date,julian_date,pot_ID,census,table_ID,lightbulb_strength,number_planted,establishment,soil_moisture_3week,germination,soil_moisture_6week,mass,se,sd,mean_temp,max_temp,locality
740,Salvia columbariae,15575,Low,18/07/2021,199,39,Greenhouse Temperature Experiment,1,40,40,0,15,0,10,0,0.006772501,3.639984489,25.0123954,26.725,native
741,Salvia columbariae,15575,Low,18/07/2021,199,40,Greenhouse Temperature Experiment,1,40,40,0,14,0,8,0,0.006772501,3.639984489,25.0123954,26.725,native
744,Salvia columbariae,15575,Low,18/07/2021,199,43,Greenhouse Temperature Experiment,1,40,40,0,19,0,11,0,0.006772501,3.639984489,25.0123954,26.725,native
745,Salvia columbariae,15575,Low,18/07/2021,199,44,Greenhouse Temperature Experiment,1,40,40,0,20,0,13,0,0.006772501,3.639984489,25.0123954,26.725,native
748,Salvia columbariae,15583,Medium,18/07/2021,199,24,Greenhouse Temperature Experiment,2,60,40,0,18,0,13,0,0.006772501,3.639984489,24.65839333,26.2016,native
754,Salvia columbariae,15583,Medium,18/07/2021,199,30,Greenhouse Temperature Experiment,2,60,40,0,33,0,11,0,0.006772501,3.639984489,24.65839333,26.2016,native
756,Salvia columbariae,15583,Medium,18/07/2021,199,32,Greenhouse Temperature Experiment,2,60,40,0,15,0,15,0,0.006772501,3.639984489,24.65839333,26.2016,native
762,Salvia columbariae,15583,Medium,18/07/2021,199,38,Greenhouse Temperature Experiment,2,60,40,0,20,0,12,0,0.006772501,3.639984489,24.65839333,26.2016,native
767,Salvia columbariae,15583,Medium,18/07/2021,199,43,Greenhouse Temperature Experiment,2,60,40,0,23,0,9,0,0.006772501,3.639984489,24.65839333,26.2016,native
769,Salvia columbariae,15583,Medium,18/07/2021,199,45,Greenhouse Temperature Experiment,2,60,40,0,17,0,8,0,0.006772501,3.639984489,24.65839333,26.2016,native
771,Salvia columbariae,15585,Medium,18/07/2021,199,1,Greenhouse Temperature Experiment,2,60,40,0,27,0,32,0,0.006772501,3.639984489,23.82450518,26.207,native
773,Salvia columbariae,15585,Medium,18/07/2021,199,3,Greenhouse Temperature Experiment,2,60,40,0,36,0,24,0,0.006772501,3.639984489,23.82450518,26.207,native
781,Salvia columbariae,15585,Medium,18/07/2021,199,11,Greenhouse Temperature Experiment,2,60,40,0,25,0,14,0,0.006772501,3.639984489,23.82450518,26.207,native
783,Salvia columbariae,15585,Medium,18/07/2021,199,13,Greenhouse Temperature Experiment,2,60,40,0,23,0,14,0,0.006772501,3.639984489,23.82450518,26.207,native
784,Salvia columbariae,15585,Medium,18/07/2021,199,14,Greenhouse Temperature Experiment,2,60,40,0,37,0,12,0,0.006772501,3.639984489,23.82450518,26.207,native
785,Salvia columbariae,15585,Medium,18/07/2021,199,15,Greenhouse Temperature Experiment,2,60,40,0,32,0,19,0,0.006772501,3.639984489,23.82450518,26.207,native
786,Salvia columbariae,15585,Medium,18/07/2021,199,16,Greenhouse Temperature Experiment,2,60,40,0,20,0,15,0,0.006772501,3.639984489,23.82450518,26.207,native
796,Salvia columbariae,15593,Medium,18/07/2021,199,49,Greenhouse Temperature Experiment,2,60,40,0,16,0,9,0,0.006772501,3.639984489,25.94974046,27.2644,native
797,Salvia columbariae,15593,Medium,18/07/2021,199,50,Greenhouse Temperature Experiment,2,60,40,0,20,0,8,0,0.006772501,3.639984489,25.94974046,27.2644,native
799,Salvia columbariae,15593,Medium,18/07/2021,199,52,Greenhouse Temperature Experiment,2,60,40,0,22,0,12,0,0.006772501,3.639984489,25.94974046,27.2644,native
800,Salvia columbariae,15593,Medium,18/07/2021,199,53,Greenhouse Temperature Experiment,2,60,40,0,21,0,13,0,0.006772501,3.639984489,25.94974046,27.2644,native
804,Salvia columbariae,15593,Medium,18/07/2021,199,57,Greenhouse Temperature Experiment,2,60,40,0,20,0,8,0,0.006772501,3.639984489,25.94974046,27.2644,native
805,Salvia columbariae,15593,Medium,18/07/2021,199,58,Greenhouse Temperature Experiment,2,60,40,0,25,0,16,0,0.006772501,3.639984489,25.94974046,27.2644,native
807,Salvia columbariae,15593,Medium,18/07/2021,199,60,Greenhouse Temperature Experiment,2,60,40,0,22,0,12,0,0.006772501,3.639984489,25.94974046,27.2644,native
810,Salvia columbariae,15593,Medium,18/07/2021,199,63,Greenhouse Temperature Experiment,2,60,40,0,13,0,8,0,0.006772501,3.639984489,25.94974046,27.2644,native
811,Salvia columbariae,15593,Medium,18/07/2021,199,64,Greenhouse Temperature Experiment,2,60,40,0,10,0,12,0,0.006772501,3.639984489,25.94974046,27.2644,native
814,Salvia columbariae,15593,Medium,18/07/2021,199,67,Greenhouse Temperature Experiment,2,60,40,0,15,0,15,0,0.006772501,3.639984489,25.94974046,27.2644,native
816,Salvia columbariae,15593,Medium,18/07/2021,199,69,Greenhouse Temperature Experiment,2,60,40,0,24,0,8,0,0.006772501,3.639984489,25.94974046,27.2644,native
820,Salvia columbariae,15598,Low,18/07/2021,199,3,Greenhouse Temperature Experiment,1,40,40,0,19,0,24,0,0.006772501,3.639984489,23.71154023,25.1068,native
831,Salvia columbariae,15598,Low,18/07/2021,199,14,Greenhouse Temperature Experiment,1,40,40,0,12,0,8,0,0.006772501,3.639984489,23.71154023,25.1068,native
832,Salvia columbariae,15598,Low,18/07/2021,199,15,Greenhouse Temperature Experiment,1,40,40,0,17,0,9,0,0.006772501,3.639984489,23.71154023,25.1068,native
834,Salvia columbariae,15598,Low,18/07/2021,199,17,Greenhouse Temperature Experiment,1,40,40,0,23,0,13,0,0.006772501,3.639984489,23.71154023,25.1068,native
837,Salvia columbariae,15598,Low,18/07/2021,199,20,Greenhouse Temperature Experiment,1,40,40,0,14,0,21,0,0.006772501,3.639984489,23.71154023,25.1068,native
840,Salvia columbariae,15598,Low,18/07/2021,199,23,Greenhouse Temperature Experiment,1,40,40,0,23,0,14,0,0.006772501,3.639984489,23.71154023,25.1068,native
1,Bromus rubens,15566,High,06/09/2021,249,24,Greenhouse Temperature Experiment,3,100,40,0,17,1,9,0,0.006772501,3.639984489,30.75365339,33.5206,invasive
231,Layia platyglossa,15566,High,30/05/2021,150,44,Greenhouse Temperature Experiment,3,100,40,0,5,1,14,0,0.006772501,3.639984489,29.68450484,33.3795,native
287,Layia platyglossa,15574,High,30/05/2021,150,53,Greenhouse Temperature Experiment,3,100,40,0,7,1,17,0,0.006772501,3.639984489,28.99218047,33.0537,native
726,Salvia columbariae,15575,Low,18/07/2021,199,25,Greenhouse Temperature Experiment,1,40,40,0,12,1,9,0,0.006772501,3.639984489,25.0123954,26.725,native
829,Salvia columbariae,15598,Low,18/07/2021,199,12,Greenhouse Temperature Experiment,1,40,40,0,20,1,9,0,0.006772501,3.639984489,23.71154023,25.1068,native
835,Salvia columbariae,15598,Low,18/07/2021,199,18,Greenhouse Temperature Experiment,1,40,40,0,16,1,9,0,0.006772501,3.639984489,23.71154023,25.1068,native
226,Layia platyglossa,15566,High,30/05/2021,150,39,Greenhouse Temperature Experiment,3,100,40,0,2,2,15,0,0.006772501,3.639984489,29.68450484,33.3795,native
270,Layia platyglossa,15573,High,30/05/2021,150,13,Greenhouse Temperature Experiment,3,100,40,0,6,2,18,0,0.006772501,3.639984489,26.03645136,28.4501,native
824,Salvia columbariae,15598,Low,18/07/2021,199,7,Greenhouse Temperature Experiment,1,40,40,0,18,2,21,0,0.006772501,3.639984489,23.71154023,25.1068,native
235,Layia platyglossa,15571,Low,30/05/2021,150,48,Greenhouse Temperature Experiment,1,40,40,0,3,3,23,0,0.006772501,3.639984489,24.20203222,26.3005,native
