calendar.date,julian.date,pot.ID,species,census,pendant.ID,table.ID,Lightbulb_strength,Factor,number.planted,number.germinated,soil.moisture,Mass
30/05/2021,150,35,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,3,16,0.094
30/05/2021,150,36,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,25,24,0.421
30/05/2021,150,37,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,7,11,0.001
30/05/2021,150,38,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,9,26,0.001
30/05/2021,150,39,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,16,24,0.298
30/05/2021,150,40,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,9,18,0.183
30/05/2021,150,41,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,7,28,0.123
30/05/2021,150,42,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,5,12,0.001
30/05/2021,150,43,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,6,19,0.03
30/05/2021,150,44,Layia platyglossa,Greenhouse Temperature Experiment,15575,1,40,Low,40,9,14,0.031
